156.124.136.200,1
156.124.136.201,1
156.124.136.202,1
156.124.136.210,0
156.124.138.202,1
156.124.138.201,1
156.124.138.203,0
156.124.138.204,1
156.124.138.207,1
156.124.138.210,1
156.124.210.200,1
156.124.210.202,1
156.124.210.201,1
156.124.210.204,1
156.124.210.203,1
156.124.210.209,1
156.124.210.210,1
156.124.224.200,1
156.124.224.202,1
156.124.224.201,1
156.124.224.210,1
156.124.232.201,1
156.124.232.202,1
156.124.234.202,1
156.124.234.203,1
156.124.234.204,1
156.124.234.205,1
156.124.234.210,1
156.124.4.200,1
156.124.4.201,1
156.124.4.202,1
156.124.4.203,1
156.124.4.204,1
156.124.4.205,1
156.124.4.206,1
156.124.4.207,1
156.124.4.208,1
156.124.4.209,1
156.124.4.210,1
156.124.4.212,1
156.124.4.213,1
156.124.4.215,1
156.124.4.219,1
156.124.58.199,1
156.124.58.200,1
156.124.58.201,1
156.124.58.202,1
156.124.58.203,1
156.124.58.204,1
156.124.58.205,1
156.124.58.206,1
156.124.58.207,1
156.124.58.208,1
156.124.58.210,1
156.124.58.211,1
156.124.58.212,1
156.124.58.214,1
156.124.58.213,1
